iter,t,j,evidence_class,evidence_is_onehot
,300,2,0,True
,300,3,0,True
,301,0,0,True
,301,1,2,True
,301,2,0,True
,301,3,0,True
,302,0,0,True
,302,1,0,True
,302,2,0,True
,302,3,0,True
,303,0,0,True
,303,1,0,True
,303,2,0,True
,303,3,0,True
,304,0,0,True
,304,1,0,True
,304,2,0,True
,304,3,0,True
,305,0,0,True
,305,1,0,True
,305,2,0,True
,305,3,0,True
,306,0,0,True
,306,1,0,True
,306,2,0,True
,306,3,2,True
,307,0,0,True
,307,1,0,True
,307,2,0,True
,307,3,0,True
,308,0,0,True
,308,1,0,True
,308,2,2,True
,308,3,0,True
,309,0,0,True
,309,1,0,True
,309,2,0,True
,309,3,0,True
,310,0,0,True
,310,1,0,True
,310,2,0,True
,310,3,1,True
,311,0,0,True
,311,1,1,True
,311,2,0,True
,311,3,0,True
,312,0,0,True
,312,1,0,True
,312,2,0,True
,312,3,0,True
,313,0,0,True
,313,1,0,True
,313,2,0,True
,313,3,0,True
,314,0,0,True
,314,1,0,True
,314,2,0,True
,314,3,0,True
,315,0,0,True
,315,1,0,True
,315,2,0,True
,315,3,2,True
,316,0,0,True
,316,1,0,True
,316,2,0,True
,316,3,0,True
,317,0,0,True
,317,1,3,True
,317,2,0,True
,317,3,0,True
,318,0,0,True
,318,1,0,True
,318,2,0,True
,318,3,2,True
,319,0,0,True
,319,1,0,True
,319,2,0,True
,319,3,0,True
,320,0,0,True
,320,1,0,True
,320,2,0,True
,320,3,2,True
,321,0,0,True
,321,1,0,True
,321,2,0,True
,321,3,0,True
,322,0,0,True
,322,1,0,True
,322,2,0,True
,322,3,0,True
,323,0,2,True
,323,1,0,True
,323,2,0,True
,323,3,0,True
,324,0,0,True
,324,1,0,True
,324,2,0,True
,324,3,0,True
,325,0,0,True
,325,1,0,True
,325,2,2,True
,325,3,0,True
,326,0,0,True
,326,1,0,True
,326,2,0,True
,326,3,2,True
,327,0,2,True
,327,1,0,True
,327,2,0,True
,327,3,0,True
,328,0,0,True
,328,1,2,True
,328,2,0,True
,328,3,0,True
,329,0,2,True
,329,1,0,True
,329,2,0,True
,329,3,0,True
,330,0,0,True
,330,1,0,True
,330,2,0,True
,330,3,0,True
,331,0,0,True
,331,1,0,True
,331,2,0,True
,331,3,0,True
,332,0,0,True
,332,1,0,True
,332,2,0,True
,332,3,0,True
,333,0,0,True
,333,1,0,True
,333,2,0,True
,333,3,0,True
,334,0,0,True
